qa_id,category,attribute,intent_full,sentiment,question,answer,product,q_len,a_len,provenance
400001,택배예약,일반,택배예약_방법_질문,m,택배 예약은 어떻게 하나요?,예약 방법 안내해 드리겠습니다.,,15,17,합성
400002,택배예약,일반,택배예약_가입여부_질문,m,회원가입 안 해도 택배 예약할 수 있나요?,가입 여부에 따라 달라 확인 후 안내드리겠습니다.,,23,27,합성
400003,택배예약,일반,택배예약_택배사비교_질문,m,어떤 택배사들을 비교할 수 있나요?,이용 가능한 택배사 목록을 확인해 안내드리겠습니다.,,19,28,합성
400004,택배예약,일반,택배예약_최저가_질문,m,가장 싸게 보내는 방법이 뭔가요?,발송 조건을 확인한 뒤 가장 경제적인 서비스로 안내드리겠습니다.,,18,35,합성
400005,택배예약,일반,택배예약_최소수량_질문,m,박스 하나만 있어도 예약되나요?,상품별 최소 수량 조건을 확인해 안내드리겠습니다.,,17,27,합성
400006,택배예약,일반,택배예약_이용대상_질문,m,"개인도 이용 가능한가요, 사업자만 되나요?",개인회원 이용 가능 서비스와 사업자 전용 서비스를 구분해 안내드리겠습니다.,,23,41,합성
400007,택배예약,운임,택배예약_요금_질문,m,택배요금이 대체 얼마인가요?,정확한 운임을 확인해 안내드리겠습니다.,,15,21,합성
400008,택배예약,일반,택배예약_취소경로_질문,m,예약 취소는 어디서 하나요?,예약현황에서 확인 후 안내드리겠습니다.,,15,21,합성
400009,택배예약,일반,택배예약_준비물_질문,m,예약할 때 뭘 미리 준비해야 하나요?,필요한 정보를 안내해 드리겠습니다.,,20,19,합성
400010,택배예약,일반,택배예약_결제방식_질문,m,결제는 어떤 방식으로 하나요?,결제 방식을 확인해 안내드리겠습니다.,,16,20,합성
400011,택배예약,일반,택배예약_서비스비교_질문,m,서비스 종류가 너무 많은데 뭐가 다른 거예요?,상황에 맞는 서비스를 비교해 안내드리겠습니다.,,25,25,합성
400012,택배예약,일반,택배예약_확정시점_질문,m,예약하고 나서 언제 확정되나요?,예약 진행 절차를 안내드리겠습니다.,,17,19,합성
400013,택배예약,일반,택배예약_할인_질문,m,회원 등급별로 할인되나요?,할인 정책을 확인 후 안내드리겠습니다.,,14,21,합성
400014,택배예약,일반,택배예약_당일접수_질문,m,지금 바로 예약하면 오늘 보내지나요?,접수 마감 시간 등을 확인 후 안내드리겠습니다.,,20,26,합성
400015,택배예약,일반,택배예약_오류_문의,n,예약 화면에서 자꾸 오류가 나요.,불편을 드려 죄송합니다. 확인해 안내드리겠습니다.,,18,27,합성
400016,택배예약,일반,택배예약_최초이용_질문,m,첫 이용인데 뭐부터 해야 하나요?,처음 이용하시는 절차를 순서대로 안내드리겠습니다.,,18,27,합성
400017,방문택배,일반,방문택배_방문일정_질문,m,방문택배 기사님은 언제 오시나요?,예약하신 방문 희망일 기준으로 확인해 안내드리겠습니다.,,18,30,합성
400018,방문택배,일반,방문택배_최소수량_질문,m,박스 한 개만 있어도 방문해주시나요?,최소 수량 조건을 확인해 안내드리겠습니다.,,20,23,합성
400019,방문택배,일반,방문택배_방문시간_질문,m,몇 시쯤 방문하는지 정확히 알 수 있나요?,정확한 방문 시각 지정은 어려우나 방문 예정 여부는 확인해 안내드리겠습니다.,,23,42,합성
400020,방문택배,일반,방문택배_미방문_문의,n,예약한 날짜인데 기사님이 안 오셨어요.,불편을 드려 죄송합니다. 예약 상태를 확인 후 안내드리겠습니다.,,21,35,합성
400021,방문택배,일반,방문택배_포장여부_질문,m,포장은 미리 다 해놔야 하나요?,방문 전 포장 완료가 필요해 안내드리겠습니다.,,17,25,합성
400022,방문택배,일반,방문택배_수거방식_질문,m,"집 앞에 두면 그냥 가져가시나요, 직접 받아야 하나요?",수거 방식을 확인해 안내드리겠습니다.,,30,20,합성
400023,방문택배,일반,방문택배_방문장소_질문,m,회사 사무실로도 방문 가능한가요?,방문 가능 주소 조건을 확인해 안내드리겠습니다.,,18,26,합성
400024,방문택배,일반,방문택배_일정변경_질문,m,방문 날짜를 다시 바꿀 수 있나요?,접수 상태를 확인 후 변경 가능 여부를 안내드리겠습니다.,,19,31,합성
400025,방문택배,운임,방문택배_요금_질문,m,롯데택배로 방문택배 예약하면 얼마예요?,정확한 운임을 확인해 안내드리겠습니다.,롯데택배,21,21,합성
400026,방문택배,일반,방문택배_제주도_질문,m,제주도인데 방문택배 가능한가요?,택배사별 이용 가능 여부와 추가운임을 확인해 안내드리겠습니다.,,17,34,합성
400027,방문택배,일반,방문택배_지연_문의,n,방문수거 예약했는데 계속 안 오면 어떻게 하나요?,접수 상태를 확인 후 지속되면 담당자를 연결해 드리겠습니다.,,27,33,합성
400028,방문택배,일반,방문택배_다수량_질문,m,여러 박스도 방문택배로 한 번에 되나요?,수량에 따라 다량할인택배가 더 유리할 수 있어 확인해 안내드리겠습니다.,,22,39,합성
400029,방문택배,일반,방문택배_사전연락_질문,m,방문 전에 연락을 주시나요?,안내 방식을 확인해 드리겠습니다.,,15,18,합성
400030,방문택배,일반,방문택배_미포장_질문,m,포장 안 하고 그냥 두면 안 가져가나요?,포장 상태에 따라 수거가 제한될 수 있어 안내드리겠습니다.,,22,32,합성
400031,편의점택배,일반,편의점택배_점포_질문,m,편의점택배는 아무 편의점에나 가져가면 되나요?,이용 가능한 브랜드와 점포를 확인해 안내드리겠습니다.,,25,29,합성
400032,편의점택배,일반,편의점택배_사전예약_질문,m,예약 안 하고 그냥 편의점 가서 접수해도 되나요?,예약 절차를 안내해 드리겠습니다.,,27,18,합성
400033,편의점택배,일반,편의점택배_조회오류_문의,n,편의점에서 제 예약번호가 안 뜬대요.,불편을 드려 죄송합니다. 예약 상태를 확인해 안내드리겠습니다.,,20,34,합성
400034,편의점택배,일반,편의점택배_서비스비교_질문,m,방문택배랑 편의점택배 중에 뭐가 나을까요?,상황에 맞춰 비교해 안내드리겠습니다.,,23,20,합성
400035,편의점택배,일반,편의점택배_브랜드_질문,m,CU에서 접수한 걸 GS에서도 받아주나요?,브랜드별로 달라 확인해 안내드리겠습니다.,,23,22,합성
400036,편의점택배,운임,편의점택배_요금비교_질문,m,편의점택배 요금이 방문택배보다 싼가요?,브랜드·규격별로 달라 확인해 안내드리겠습니다.,,21,25,합성
400037,편의점택배,일반,편의점택배_제주도_질문,m,제주도에 사는데 편의점택배 되나요?,브랜드별 이용 가능 여부를 확인해 안내드리겠습니다.,,19,28,합성
400038,편의점택배,일반,편의점택배_도서지역_질문,m,도서지역인데 편의점택배로 보낼 수 있나요?,브랜드별 도서지역 이용 가능 여부를 확인해 안내드리겠습니다.,,23,33,합성
400039,편의점택배,일반,편의점택배_할인상품_질문,m,반값택배라는 게 뭔가요?,규격을 좁힌 대신 저렴한 상품으로 안내드리겠습니다.,,13,28,합성
400040,편의점택배,일반,편의점택배_준비물_질문,m,편의점 가져가기 전에 뭘 준비해야 하나요?,접수 전 확인사항을 안내드리겠습니다.,,23,20,합성
400041,편의점택배,운임,편의점택배_규격_질문,m,세븐일레븐 착한택배는 무게 제한이 있나요?,규격 조건을 확인해 안내드리겠습니다.,세븐일레븐 착한택배,23,20,합성
400042,다량할인택배,일반,다량할인택배_예약방법_질문,m,박스 여러 개를 한 번에 보내려면 어떻게 하나요?,다량할인택배 예약 절차를 안내드리겠습니다.,,27,23,합성
400043,다량할인택배,일반,다량할인택배_최소수량_질문,m,최소 몇 박스부터 다량할인택배가 되나요?,상품별 최소 수량을 확인해 안내드리겠습니다.,,22,24,합성
400044,다량할인택배,일반,다량할인택배_규격상이_질문,m,박스마다 크기가 다 다른데 괜찮나요?,각 박스 규격을 정확히 등록해야 해 안내드리겠습니다.,,20,29,합성
400045,다량할인택배,운임,다량할인택배_수량할인_질문,m,10박스 이상 보내면 더 싸지나요?,구간별 단가를 확인해 안내드리겠습니다.,,19,21,합성
400046,다량할인택배,일반,다량할인택배_개인이용_질문,m,개인인데 이사짐 여러 박스 보내도 되나요?,개인도 조건을 충족하면 이용 가능해 안내드리겠습니다.,,23,29,합성
400047,다량할인택배,일반,다량할인택배_수취인다수_질문,m,받는 사람이 여러 명이면 어떻게 입력하나요?,수취인별 입력 방법을 안내드리겠습니다.,,24,21,합성
400048,다량할인택배,일반,다량할인택배_준비물_질문,m,다량할인택배 예약 전에 뭘 준비해야 하나요?,필요한 정보 목록을 안내드리겠습니다.,,24,20,합성
400049,다량할인택배,일반,다량할인택배_규격초과_질문,m,박스 하나가 규격을 넘으면 어떻게 되나요?,추가운임이 발생하거나 수거가 제한될 수 있어 안내드리겠습니다.,,23,34,합성
400050,다량할인택배,일반,다량할인택배_상품비교_질문,m,오늘픽업이랑 오늘도착은 뭐가 다른가요?,두 상품의 차이를 확인해 안내드리겠습니다.,,21,23,합성
400051,다량할인택배,운임,다량할인택배_지역할증_질문,m,제주도로 다량 발송하면 추가비용 있나요?,택배사별 지역할증을 확인해 안내드리겠습니다.,,22,24,합성
400052,다량할인택배,일반,다량할인택배_수거방식_질문,m,다량할인택배도 방문수거 해주나요?,수거 방식을 확인해 안내드리겠습니다.,,18,20,합성
400053,소호사업자택배,일반,소호사업자택배_신청조건_질문,m,소호사업자택배 신청하려면 뭐가 필요한가요?,신청 조건을 안내드리겠습니다.,,23,16,합성
400054,소호사업자택배,일반,소호사업자택배_대상_질문,m,개인사업자도 신청 가능한가요?,개인·법인사업자 모두 가능해 확인 후 안내드리겠습니다.,,16,30,합성
400055,소호사업자택배,일반,소호사업자택배_승인기간_질문,m,신청하면 바로 이용 가능한가요?,택배사 승인 절차를 안내드리겠습니다.,,17,20,합성
400056,소호사업자택배,운임,소호사업자택배_운임변동_질문,m,사업자택배 운임은 매달 똑같나요?,발송량에 따라 달라질 수 있어 확인해 안내드리겠습니다.,,18,30,합성
400057,소호사업자택배,일반,소호사업자택배_서비스추천_질문,m,온라인 판매자인데 어떤 서비스가 맞나요?,발송 빈도에 맞춰 비교해 안내드리겠습니다.,,22,23,합성
400058,소호사업자택배,일반,소호사업자택배_집하주소_질문,m,집하주소는 꼭 등록해야 하나요?,신청 요건 중 하나라 안내드리겠습니다.,,17,21,합성
400059,소호사업자택배,일반,소호사업자택배_신청절차_질문,m,신청 절차가 어떻게 되나요?,단계별 절차를 안내드리겠습니다.,,15,17,합성
400060,소호사업자택배,일반,소호사업자택배_결제등록_질문,m,간편결제 등록은 왜 필요한가요?,신청 조건 중 하나라 안내드리겠습니다.,,17,21,합성
400061,소호사업자택배,일반,소호사업자택배_승인지연_문의,n,승인이 계속 안 나는데 왜 그런가요?,불편을 드려 죄송합니다. 확인 후 안내드리겠습니다.,,20,28,합성
400062,소호사업자택배,일반,소호사업자택배_최소물량_질문,m,발송량이 적어도 신청할 수 있나요?,최소 물량 조건을 확인해 안내드리겠습니다.,,19,23,합성
400063,주문연동,일반,주문연동_기능소개_질문,m,쇼핑몰 주문을 자동으로 가져올 수 있나요?,주문연동 기능을 안내드리겠습니다.,,23,18,합성
400064,주문연동,일반,주문연동_지원몰_질문,m,스마트스토어 말고 다른 쇼핑몰도 연동되나요?,지원 쇼핑몰 현황을 확인해 안내드리겠습니다.,,24,24,합성
400065,주문연동,일반,주문연동_미수집_문의,n,주문이 하나도 안 들어와요.,불편을 드려 죄송합니다. 연동 상태를 확인해 안내드리겠습니다.,,15,34,합성
400066,주문연동,일반,주문연동_운송장전송_질문,m,운송장번호가 쇼핑몰에 자동으로 올라가나요?,전송 조건을 확인해 안내드리겠습니다.,,23,20,합성
400067,주문연동,일반,주문연동_수집범위_질문,m,연동한 지 얼마 안 됐는데 예전 주문도 보이나요?,연동 시점 이후 주문만 수집되어 안내드리겠습니다.,,27,27,합성
400068,주문연동,일반,주문연동_반품관리_질문,m,반품 접수도 여기서 관리되나요?,연동 방식에 따라 지원 범위가 달라 확인해 안내드리겠습니다.,,17,33,합성
400069,주문연동,일반,주문연동_통합조회_질문,m,여러 쇼핑몰 주문을 한 화면에서 볼 수 있나요?,통합 관리 기능을 안내드리겠습니다.,,26,19,합성
400070,주문연동,일반,주문연동_전송오류_문의,n,운송장번호가 며칠째 안 올라가는데 왜 그런가요?,불편을 드려 죄송합니다. 접수 상태를 확인해 안내드리겠습니다.,,26,34,합성
400071,주문연동,일반,주문연동_연결상태_질문,m,API 연결이 끊겼는지 어떻게 확인하나요?,연동 상태 확인 방법을 안내드리겠습니다.,,23,22,합성
400072,주문연동,일반,주문연동_합포장_질문,m,합포장 기능도 있나요?,쇼핑몰·연동 방식에 따라 달라 확인해 안내드리겠습니다.,,12,30,합성
400073,규격배송취소,일반,규격배송취소_측정법_질문,m,박스 크기는 어떻게 재는 건가요?,측정 방법을 안내드리겠습니다.,,18,16,합성
400074,규격배송취소,일반,규격배송취소_조회오류_문의,n,운송장번호가 있는데 배송조회가 안 돼요.,불편을 드려 죄송합니다. 접수 상태를 확인해 안내드리겠습니다.,,22,34,합성
400075,규격배송취소,일반,규격배송취소_번호구분_질문,m,예약번호랑 운송장번호랑 같은 건가요?,두 번호의 차이를 안내드리겠습니다.,,20,19,합성
