qa_id,hard_type,route_expected,route_alt,question,expected_behavior,sentiment,provenance,note,route_expected_v2,route_alt_v2
500001,경계모호,VISIT_PICKUP,CVS_PICKUP,기사님이 오시는 거랑 편의점에 직접 가져가는 거 중에 뭐가 더 빠른가요?,두 서비스 모두 해당할 수 있다. 상황(운반 가능 여부·대기 가능 여부)을 되물어야 한다.,m,합성,저작 시 유형 지정,VISIT_PICKUP,CVS_PICKUP
500002,경계모호,BULK_DISCOUNT,BIZ_ACCOUNT,매달 비슷한 양을 보내는데 어떤 서비스가 맞나요?,"정기 발송이면 소호사업자택배, 일회성이면 다량할인택배로 갈린다.",m,합성,저작 시 유형 지정,BIZ_BULK,
500003,경계모호,ORDER_SYNC,BIZ_ACCOUNT,쇼핑몰 연동하려면 사업자 택배부터 신청해야 하나요?,주문연동과 사업자택배 신청은 별개 절차라 확인 없이 답하면 오안내다.,m,합성,저작 시 유형 지정,BIZ_BULK,
500004,경계모호,CVS_PICKUP,BULK_DISCOUNT,박스 3개인데 편의점에 나눠 가져가도 되나요 아니면 한꺼번에 예약해야 하나요?,수량 기준으로 다량할인택배 최소 수량에 해당할 수도 있다.,m,합성,저작 시 유형 지정,CVS_PICKUP,BIZ_BULK
500005,경계모호,VISIT_PICKUP,BULK_DISCOUNT,박스가 5개인데 그냥 방문택배로 하나씩 예약하면 되나요?,수량이 많아 다량할인택배가 더 유리할 수 있어 확인 후 안내해야 한다.,m,합성,저작 시 유형 지정,VISIT_PICKUP,BIZ_BULK
500006,경계모호,SPEC_SHIPPING,VISIT_PICKUP,예약은 했는데 취소하고 다시 방문일만 바꾸고 싶어요.,취소인지 일정 변경인지 요청이 겹친다.,m,합성,저작 시 유형 지정,SPEC_SHIPPING,VISIT_PICKUP
500007,경계모호,RESERVE_GENERAL,CVS_PICKUP,가장 싸게 보내는 방법이 편의점택배인가요?,최저가 여부는 브랜드·규격·지역에 따라 달라 단정할 수 없다.,m,합성,저작 시 유형 지정,RESERVE_GENERAL,CVS_PICKUP
500008,경계모호,ORDER_SYNC,SPEC_SHIPPING,운송장번호가 쇼핑몰에도 안 뜨고 배송조회도 안 되는데 뭐가 문제인가요?,연동 오류인지 일반 배송조회 지연인지 원인 확인이 먼저 필요하다.,n,합성,저작 시 유형 지정,BIZ_BULK,SPEC_SHIPPING
500009,경계모호,BIZ_ACCOUNT,ORDER_SYNC,사업자택배 신청하면 쇼핑몰 주문도 자동으로 연결되나요?,신청과 연동은 별개 기능이라 확인 없이 답하면 오안내다.,m,합성,저작 시 유형 지정,BIZ_BULK,
500010,경계모호,CVS_PICKUP,VISIT_PICKUP,오늘 안에 보내야 하는데 편의점이 나을까요 기사님을 부르는 게 나을까요?,기사 방문 대기 가능 여부에 따라 갈린다.,m,합성,저작 시 유형 지정,CVS_PICKUP,VISIT_PICKUP
500011,극단단답,OTHER,,얼마예요?,대상이 없다. 어떤 서비스·구간의 운임인지 되물어야 한다.,m,합성,저작 시 유형 지정,OTHER,
500012,극단단답,OTHER,,언제 와요?,방문택배 기사인지 배송 도착인지 대상이 불명확하다.,m,합성,저작 시 유형 지정,OTHER,
500013,극단단답,OTHER,,취소요,어떤 예약의 취소인지 정보가 없다.,m,합성,저작 시 유형 지정,OTHER,
500014,극단단답,OTHER,,네?,직전 맥락 없이는 처리할 수 없다.,m,합성,저작 시 유형 지정,OTHER,
500015,극단단답,OTHER,,가능한가요?,무엇이 가능한지 대상이 없다.,m,합성,저작 시 유형 지정,OTHER,
500016,극단단답,OTHER,,안 왔어요,무엇이 안 왔는지(기사·물건·운송장) 특정되지 않았다.,n,합성,저작 시 유형 지정,OTHER,
500017,극단단답,OTHER,,예약번호요,예약번호로 무엇을 확인해 달라는 것인지 없다.,m,합성,저작 시 유형 지정,OTHER,
500018,극단단답,OTHER,,ㅠㅠ,내용이 없다.,n,합성,저작 시 유형 지정,OTHER,
500019,다중의도,RESERVE_GENERAL,SPEC_SHIPPING,요금도 궁금하고 취소하는 법도 알려주세요.,문의가 실제로 두 건이다. 쪼개서 각각 처리해야 한다.,m,합성,저작 시 유형 지정,RESERVE_GENERAL,SPEC_SHIPPING
500020,다중의도,VISIT_PICKUP,SPEC_SHIPPING,방문 날짜 바꾸고 주소도 같이 변경하고 싶어요.,일정 변경과 주소 변경 두 건이 섞였다.,m,합성,저작 시 유형 지정,VISIT_PICKUP,SPEC_SHIPPING
500021,다중의도,CVS_PICKUP,RESERVE_GENERAL,편의점택배로 예약하는 법 알려주시고 제일 싼 브랜드도 추천해주세요.,예약 방법 문의와 최저가 추천 두 건이다.,m,합성,저작 시 유형 지정,CVS_PICKUP,RESERVE_GENERAL
500022,다중의도,BULK_DISCOUNT,SPEC_SHIPPING,박스 규격 재는 법 알려주시고 다량할인택배 최소 수량도 알려주세요.,규격 측정법과 서비스 조건 두 건이다.,m,합성,저작 시 유형 지정,BIZ_BULK,SPEC_SHIPPING
