qa_id,route,split,route_v2
400001,RESERVE_GENERAL,fewshot,RESERVE_GENERAL
400002,RESERVE_GENERAL,eval,RESERVE_GENERAL
400003,RESERVE_GENERAL,eval,RESERVE_GENERAL
400004,RESERVE_GENERAL,eval,RESERVE_GENERAL
400005,RESERVE_GENERAL,fewshot,RESERVE_GENERAL
400006,RESERVE_GENERAL,eval,RESERVE_GENERAL
400007,RESERVE_GENERAL,eval,RESERVE_GENERAL
400008,RESERVE_GENERAL,eval,RESERVE_GENERAL
400009,RESERVE_GENERAL,fewshot,RESERVE_GENERAL
400010,RESERVE_GENERAL,eval,RESERVE_GENERAL
400011,RESERVE_GENERAL,eval,RESERVE_GENERAL
400012,RESERVE_GENERAL,eval,RESERVE_GENERAL
400013,RESERVE_GENERAL,fewshot,RESERVE_GENERAL
400014,RESERVE_GENERAL,eval,RESERVE_GENERAL
400015,RESERVE_GENERAL,eval,RESERVE_GENERAL
400016,RESERVE_GENERAL,eval,RESERVE_GENERAL
400017,VISIT_PICKUP,fewshot,VISIT_PICKUP
400018,VISIT_PICKUP,eval,VISIT_PICKUP
400019,VISIT_PICKUP,eval,VISIT_PICKUP
400020,VISIT_PICKUP,eval,VISIT_PICKUP
400021,VISIT_PICKUP,fewshot,VISIT_PICKUP
400022,VISIT_PICKUP,eval,VISIT_PICKUP
400023,VISIT_PICKUP,eval,VISIT_PICKUP
400024,VISIT_PICKUP,eval,VISIT_PICKUP
400025,VISIT_PICKUP,fewshot,VISIT_PICKUP
400026,VISIT_PICKUP,eval,VISIT_PICKUP
400027,VISIT_PICKUP,eval,VISIT_PICKUP
400028,VISIT_PICKUP,eval,VISIT_PICKUP
400029,VISIT_PICKUP,fewshot,VISIT_PICKUP
400030,VISIT_PICKUP,eval,VISIT_PICKUP
400031,CVS_PICKUP,fewshot,CVS_PICKUP
400032,CVS_PICKUP,eval,CVS_PICKUP
400033,CVS_PICKUP,eval,CVS_PICKUP
400034,CVS_PICKUP,eval,CVS_PICKUP
400035,CVS_PICKUP,fewshot,CVS_PICKUP
400036,CVS_PICKUP,eval,CVS_PICKUP
400037,CVS_PICKUP,eval,CVS_PICKUP
400038,CVS_PICKUP,eval,CVS_PICKUP
400039,CVS_PICKUP,fewshot,CVS_PICKUP
400040,CVS_PICKUP,eval,CVS_PICKUP
400041,CVS_PICKUP,eval,CVS_PICKUP
400042,BULK_DISCOUNT,fewshot,BIZ_BULK
400043,BULK_DISCOUNT,eval,BIZ_BULK
400044,BULK_DISCOUNT,eval,BIZ_BULK
400045,BULK_DISCOUNT,eval,BIZ_BULK
400046,BULK_DISCOUNT,fewshot,BIZ_BULK
400047,BULK_DISCOUNT,eval,BIZ_BULK
400048,BULK_DISCOUNT,eval,BIZ_BULK
400049,BULK_DISCOUNT,eval,BIZ_BULK
400050,BULK_DISCOUNT,fewshot,BIZ_BULK
400051,BULK_DISCOUNT,eval,BIZ_BULK
400052,BULK_DISCOUNT,eval,BIZ_BULK
400053,BIZ_ACCOUNT,fewshot,BIZ_BULK
400054,BIZ_ACCOUNT,eval,BIZ_BULK
400055,BIZ_ACCOUNT,eval,BIZ_BULK
400056,BIZ_ACCOUNT,eval,BIZ_BULK
400057,BIZ_ACCOUNT,fewshot,BIZ_BULK
400058,BIZ_ACCOUNT,eval,BIZ_BULK
400059,BIZ_ACCOUNT,eval,BIZ_BULK
400060,BIZ_ACCOUNT,eval,BIZ_BULK
400061,BIZ_ACCOUNT,fewshot,BIZ_BULK
400062,BIZ_ACCOUNT,eval,BIZ_BULK
400063,ORDER_SYNC,fewshot,BIZ_BULK
400064,ORDER_SYNC,eval,BIZ_BULK
400065,ORDER_SYNC,eval,BIZ_BULK
400066,ORDER_SYNC,eval,BIZ_BULK
400067,ORDER_SYNC,fewshot,BIZ_BULK
400068,ORDER_SYNC,eval,BIZ_BULK
400069,ORDER_SYNC,eval,BIZ_BULK
400070,ORDER_SYNC,eval,BIZ_BULK
400071,ORDER_SYNC,fewshot,BIZ_BULK
400072,ORDER_SYNC,eval,BIZ_BULK
400073,SPEC_SHIPPING,fewshot,SPEC_SHIPPING
400074,SPEC_SHIPPING,eval,SPEC_SHIPPING
400075,SPEC_SHIPPING,eval,SPEC_SHIPPING
400076,SPEC_SHIPPING,eval,SPEC_SHIPPING
400077,SPEC_SHIPPING,fewshot,SPEC_SHIPPING
400078,SPEC_SHIPPING,eval,SPEC_SHIPPING
400079,SPEC_SHIPPING,eval,SPEC_SHIPPING
400080,SPEC_SHIPPING,eval,SPEC_SHIPPING
400081,SPEC_SHIPPING,fewshot,SPEC_SHIPPING
400082,SPEC_SHIPPING,eval,SPEC_SHIPPING
400083,OTHER,fewshot,OTHER
400084,OTHER,fewshot,OTHER
400085,OTHER,outscope,OTHER
400086,OTHER,outscope,OTHER
400087,OTHER,outscope,OTHER
400088,OTHER,outscope,OTHER
400089,OTHER,outscope,OTHER
400090,OTHER,outscope,OTHER
490001,RESERVE_GENERAL,eval,RESERVE_GENERAL
490002,RESERVE_GENERAL,eval,RESERVE_GENERAL
490003,SPEC_SHIPPING,eval,SPEC_SHIPPING
490004,SPEC_SHIPPING,eval,SPEC_SHIPPING
490005,OTHER,outscope,OTHER
490006,RESERVE_GENERAL,eval,RESERVE_GENERAL
490007,VISIT_PICKUP,eval,VISIT_PICKUP
490008,CVS_PICKUP,eval,CVS_PICKUP
490009,BULK_DISCOUNT,eval,BIZ_BULK
490010,SPEC_SHIPPING,eval,SPEC_SHIPPING
490011,OTHER,outscope,OTHER
